dataset,depth,val_acc_mean,val_acc_std
Cycles,0,0.48131868839263914,0.03992506994912348
Cycles,1,0.492307710647583,0.059887598976641754
Cycles,2,0.797802209854126,0.044366215461471396
Cycles,3,0.9934065937995911,0.006018928844597264
Cycles,4,0.997802197933197,0.004914434822460978
Cycles,5,1.0,0.0
Cycles,6,0.997802197933197,0.004914434822460978
Cycles,7,1.0,0.0
Cycles,8,1.0,0.0
Necklaces,0,0.4769230842590332,0.029690678116734603
Necklaces,1,0.4307692348957062,0.03594599177788287
Necklaces,2,0.5626373827457428,0.04688073287393071
Necklaces,3,0.7824175953865051,0.04354200346218639
Necklaces,4,0.8329670429229736,0.02252076957185437
Necklaces,5,0.8615384697914124,0.02865583304012266
Necklaces,6,0.8857142925262451,0.036940077609126286
Necklaces,7,0.9252747297286987,0.016299336362759993
Necklaces,8,0.9450549483299255,0.02055855584480096
