dataset,depth,test_acc_mean,test_acc_std
Proteins,1,0.68638995885849,0.04125541404757401
Proteins,2,0.6963400781154633,0.03078522977951313
Proteins,3,0.7062419593334198,0.03749003350338791
Proteins,4,0.6882158935070037,0.02825588335808211
Proteins,5,0.6765846252441406,0.03068885586968517
Enzymes,1,0.2166666716337204,0.052704628716620065
Enzymes,2,0.23500000536441804,0.03282012782392377
Enzymes,3,0.23833333551883698,0.03932297300288421
Enzymes,4,0.22000000178813933,0.03314762889130567
Enzymes,5,0.2533333346247673,0.055998233360264486
DD,1,0.6494155585765838,0.03472276047268349
DD,2,0.6773607850074768,0.046516423624967475
DD,3,0.6739564657211303,0.030426316263260346
DD,4,0.6799175202846527,0.03644644842750004
DD,5,0.6681539118289948,0.03288896853634137
MNIST,1,0.41990000009536743,0.022190530861820556
MNIST,2,0.5644000023603439,0.00919383196145551
MNIST,3,0.7139749974012375,0.009316785072383661
MNIST,4,0.7617500126361847,0.004825974772789259
MNIST,5,0.7758250087499619,0.004222444657137461
