dataset,depth,fake,dim1,val_acc_mean,val_acc_std
Cycles,0,False,False,1.0,0.0
Cycles,1,False,False,0.995604395866394,0.006018928844597242
Cycles,2,False,False,0.9912087917327881,0.009194065677640093
Cycles,3,False,False,0.9934065937995911,0.00982886964492196
Cycles,4,False,False,0.9912087917327881,0.009194065677640114
Cycles,5,False,False,0.9934065937995911,0.006018928844597247
Cycles,6,False,False,0.997802197933197,0.004914434822460939
Cycles,7,False,False,1.0,0.0
Cycles,8,False,False,0.995604395866394,0.009828869644921988
Cycles,0,False,True,1.0,0.0
Cycles,1,False,True,1.0,0.0
Cycles,2,False,True,0.997802197933197,0.004914434822460939
Cycles,3,False,True,1.0,0.0
Cycles,4,False,True,0.997802197933197,0.004914434822460978
Cycles,5,False,True,0.9934065937995911,0.006018928844597264
Cycles,6,False,True,1.0,0.0
Cycles,7,False,True,1.0,0.0
Cycles,8,False,True,0.997802197933197,0.004914434822460947
Cycles,0,True,False,0.47252747416496277,0.0077704037257109535
Cycles,1,True,False,0.46153846979141233,0.058665268602438064
Cycles,2,True,False,0.9516483545303347,0.014743304467382928
Cycles,3,True,False,0.997802197933197,0.004914434822460947
Cycles,4,True,False,0.997802197933197,0.004914434822460947
Cycles,5,True,False,1.0,0.0
Cycles,6,True,False,1.0,0.0
Cycles,7,True,False,1.0,0.0
Cycles,8,True,False,1.0,0.0
Cycles,0,True,True,0.4681318819522858,0.059988336720549165
Cycles,1,True,True,0.49010990262031556,0.07147083476152767
Cycles,2,True,True,0.9274725317955017,0.035267704570147225
Cycles,3,True,True,0.995604395866394,0.006018928844597242
Cycles,4,True,True,1.0,0.0
Cycles,5,True,True,1.0,0.0
Cycles,6,True,True,0.997802197933197,0.004914434822460938
Cycles,7,True,True,1.0,0.0
Cycles,8,True,True,1.0,0.0
Necklaces,0,False,False,0.8109890222549438,0.05119039122948337
Necklaces,1,False,False,0.8439560532569885,0.028444347987100653
Necklaces,2,False,False,0.8725274801254272,0.04298374956018397
Necklaces,3,False,False,0.8725274801254272,0.06976074418524912
Necklaces,4,False,False,0.89670330286026,0.04007600316910913
Necklaces,5,False,False,0.9538461565971375,0.023823606699429505
Necklaces,6,False,False,0.9670329689979553,0.038852018628554905
Necklaces,7,False,False,0.9692307710647583,0.02382360669942948
Necklaces,8,False,False,0.9802197813987732,0.012037857689194692
Necklaces,0,False,True,0.9780219793319702,0.010989010334015004
Necklaces,1,False,True,0.9802197813987732,0.004914434822461041
Necklaces,2,False,True,0.9912087917327881,0.014327916520061362
Necklaces,3,False,True,0.9846153855323792,0.01252939952900429
Necklaces,4,False,True,0.9868131875991821,0.009194065677640112
Necklaces,5,False,True,0.9802197813987732,0.019657739289843976
Necklaces,6,False,True,0.9890109896659851,0.019033524223413235
Necklaces,7,False,True,0.9912087917327881,0.009194065677640095
Necklaces,8,False,True,0.995604395866394,0.006018928844597277
Necklaces,0,True,False,0.4989011108875275,0.03931549357369269
Necklaces,1,True,False,0.4857142984867096,0.03333133240224187
Necklaces,2,True,False,0.6417582631111145,0.04298374956018399
Necklaces,3,True,False,0.7582417726516724,0.04326377694881521
Necklaces,4,True,False,0.8769230842590332,0.05293008290574654
Necklaces,5,True,False,0.9582417607307434,0.01203785768919464
Necklaces,6,True,False,0.9648351669311523,0.029486608934765964
Necklaces,7,True,False,0.9692307710647583,0.01432791652006137
Necklaces,8,True,False,0.9758241772651672,0.009194065677640226
Necklaces,0,True,True,0.4835164904594421,0.03296704341967934
Necklaces,1,True,True,0.49230770468711854,0.04688073496966269
Necklaces,2,True,True,0.5989011228084564,0.04789998553549506
Necklaces,3,True,True,0.7714285850524902,0.039925057234753425
Necklaces,4,True,True,0.9076923131942749,0.027582197032920412
Necklaces,5,True,True,0.9494505524635315,0.027582197032920384
Necklaces,6,True,True,0.9670329689979553,0.010989010334014913
Necklaces,7,True,True,0.9802197813987732,0.018056786533792057
Necklaces,8,True,True,0.9824175834655762,0.009828869644922083
